,Date,How many posts,Unique users
0,2015-04-16,27,1111
1,2015-04-17,2,139
2,2015-04-20,3,102
3,2015-04-21,2,73
4,2015-04-22,3,71
5,2015-04-23,3,153
6,2015-04-24,3,43
7,2015-04-27,2,119
8,2015-04-28,1,29
9,2015-04-29,1,22
10,2015-04-30,1,20
11,2015-05-01,1,35
12,2015-05-04,1,227
13,2015-05-05,3,82
14,2015-05-06,1,59
15,2015-05-07,2,44
16,2015-05-08,1,39
17,2015-05-13,1,72
18,2015-05-14,3,80
19,2015-05-15,3,49
20,2015-05-18,1,226
21,2015-05-19,1,86
22,2015-05-21,8,447
23,2015-05-22,2,120
24,2015-05-26,7,327
25,2015-05-27,2,167
26,2015-05-28,3,128
27,2015-05-29,4,370
28,2015-06-01,1,373
29,2015-06-02,9,306
30,2015-06-03,4,446
31,2015-06-04,6,215
32,2015-06-05,2,87
33,2015-06-08,7,203
34,2015-06-09,3,89
35,2015-06-10,4,85
36,2015-06-11,4,113
37,2015-06-12,2,79
38,2015-06-15,2,179
39,2015-06-16,4,101
40,2015-06-17,3,140
41,2015-06-18,2,112
42,2015-06-19,1,48
43,2015-06-22,1,186
44,2015-06-23,3,102
45,2015-06-24,2,100
46,2015-06-25,1,49
47,2015-06-26,2,33
48,2015-06-29,3,148
49,2015-06-30,1,78
50,2015-07-02,2,55
51,2015-07-04,2,1
52,2015-07-06,1,155
53,2015-07-07,3,85
54,2015-07-08,1,81
55,2015-07-09,1,58
56,2015-07-10,2,52
57,2015-07-13,6,93
58,2015-07-14,3,71
59,2015-07-15,3,62
60,2015-07-16,2,52
61,2015-07-17,2,44
62,2015-07-20,2,158
63,2015-07-23,4,73
64,2015-07-24,2,64
65,2015-07-27,1,288
66,2015-07-28,2,103
67,2015-07-30,1,39
68,2015-07-31,2,37
69,2015-08-02,1,2
70,2015-08-03,3,145
71,2015-08-04,1,56
72,2015-08-05,5,39
73,2015-08-06,2,30
74,2015-08-10,1,78
75,2015-08-11,3,31
76,2015-08-12,1,24
77,2015-08-17,6,95
78,2015-08-18,1,40
79,2015-08-21,17,19
80,2015-08-22,2,2
81,2015-08-24,8,0
82,2015-08-27,2,0
83,2015-08-28,1,0
84,2015-08-31,11,86
85,2015-09-01,6,87
86,2015-09-02,14,257
87,2015-09-03,11,67
88,2015-09-04,2,67
89,2015-09-08,5,58
90,2015-09-09,5,125
91,2015-09-10,4,222
92,2015-09-11,6,108
93,2015-09-13,2,2
94,2015-09-14,3,36
95,2015-09-15,2,51
96,2015-09-16,4,30
97,2015-09-17,3,43
98,2015-09-18,4,38
99,2015-09-19,2,5
